adrid,adr_info
BADD_A00003,07.07.03.001;12.02.03.006
BADD_A00004,07.01.06.001
BADD_A00005,07.01.04.001
BADD_A00008,07.01.05.002
BADD_A00009,07.01.05.010
BADD_A00010,07.01.05.003
BADD_A00011,07.01.05.011
BADD_A00012,07.01.05.004
BADD_A00015,17.15.02.001;19.02.03.001
BADD_A00016,07.01.03.001
BADD_A00020,06.01.01.001
BADD_A00022,14.03.02.010
BADD_A00028,18.01.01.001
BADD_A00032,18.01.01.002
BADD_A00035,18.01.04.001
BADD_A00037,11.01.08.001
BADD_A00049,06.02.04.001
BADD_A00053,14.01.03.002
BADD_A00055,23.02.01.001
BADD_A00066,23.01.06.001
BADD_A00069,13.01.02.001
BADD_A00071,07.01.06.015
BADD_A00074,01.02.01.006;23.03.03.033
BADD_A00075,09.01.03.001
BADD_A00076,01.10.02.001;16.01.02.001
BADD_A00077,01.10.01.001;16.01.01.001
BADD_A00078,01.10.05.001;16.01.05.001
BADD_A00079,02.02.02.001;24.04.04.001
BADD_A00082,01.10.05.003;16.01.05.003
BADD_A00083,19.03.01.001
BADD_A00084,02.05.02.004;22.01.03.005
BADD_A00085,10.02.01.067;22.01.03.001;24.03.02.034
BADD_A00086,14.01.04.004;22.02.06.001
BADD_A00091,16.16.01.004
BADD_A00104,05.01.03.001
BADD_A00108,05.01.02.001;14.11.01.004
BADD_A00119,19.04.04.001
BADD_A00122,07.14.03.003;17.02.07.001
BADD_A00123,19.05.01.001
BADD_A00124,17.02.05.012;19.06.02.001
BADD_A00127,01.02.03.001
BADD_A00129,17.01.02.002;19.06.02.006
BADD_A00130,17.01.02.003
BADD_A00131,13.03.04.002
BADD_A00134,13.03.04.005
BADD_A00138,20.02.01.001
BADD_A00140,19.07.06.001
BADD_A00141,14.02.01.001
BADD_A00145,19.07.06.006
BADD_A00152,23.02.02.001
BADD_A00155,17.02.04.001;19.07.01.003
BADD_A00157,22.01.01.001
BADD_A00160,06.02.10.001
BADD_A00162,06.02.01.001
BADD_A00164,05.05.01.002;21.01.02.001
BADD_A00167,17.03.02.001;19.20.01.001
BADD_A00174,13.05.01.009
BADD_A00177,17.05.05.004
BADD_A00178,01.03.02.001
BADD_A00184,01.03.02.002;14.12.01.002
BADD_A00185,01.03.02.003;14.12.01.003
BADD_A00206,07.03.01.002
BADD_A00207,07.11.05.002
BADD_A00211,10.01.07.001;24.06.03.006
BADD_A00212,10.01.07.002;24.06.02.004
BADD_A00213,10.01.07.003;24.06.03.007
BADD_A00223,24.02.01.001
BADD_A00227,19.04.02.001
BADD_A00228,02.02.02.002;24.04.04.002
BADD_A00229,02.02.02.004;24.04.04.004
BADD_A00232,10.01.05.009;22.04.02.008;23.04.01.001
BADD_A00238,06.03.01.001
BADD_A00240,19.15.02.007
BADD_A00247,10.04.04.004;15.01.09.001
BADD_A00250,07.03.01.001
BADD_A00252,19.08.01.001
BADD_A00253,17.04.04.001;22.04.03.006
BADD_A00266,17.05.01.001
BADD_A00270,19.05.01.010
BADD_A00272,20.01.03.002
BADD_A00273,19.06.02.002
BADD_A00276,24.02.03.001
BADD_A00279,24.02.03.002
