DRUG_ID,ATC_CODE
BADD_D00008,J05AR13;J05AR02;J05AR04;J05AF06
BADD_D00009,J05AR13;J05AR02;J05AR04;J05AF06
BADD_D00010,J05AR13;J05AR02;J05AR04;J05AF06
BADD_D00011,L02BX01
BADD_D00014,L01XK52;L02BX53;L02BX03
BADD_D00017,N07BB03
BADD_D00018,A10BD17;A10BF01
BADD_D00019,C07AB04;C07BB04
BADD_D00020,C07AB04;C07BB04
BADD_D00021,M01AB16;M02AA25
BADD_D00022,B01AA07
BADD_D00023,N02BE71;N02BE01;N02AJ13;N02AJ17;N02BE51;N02AJ22;N02AJ06;N02AJ01
BADD_D00025,G01AE10;S01EC01
BADD_D00026,G01AE10;S01EC01
BADD_D00028,G04BX03
BADD_D00030,S01EB09
BADD_D00031,S01EB09
BADD_D00033,B01AC06;C07FX04;C10BX04;M01BA03;C10BX02;N02BA71;B01AC56;N02AJ07;N02AJ02;N02BA01;B01AF51;C10BX05;N02BA51;A01AD05;C10BX01;C07FX03;N02AJ18;C10BX12;C10BX08;C10BX06;C07FX02
BADD_D00035,C10AD06
BADD_D00038,A07BA51;A07BA01
BADD_D00039,J05AB01;D06BB03;S01AD03;D06BB53
BADD_D00040,J05AB01;D06BB03;S01AD03;D06BB53
BADD_D00042,D10AD03;D10AD53
BADD_D00044,J05AF08
BADD_D00045,C01EB10
BADD_D00047,L01EB03
BADD_D00049,A16AB04
BADD_D00050,N06AX22
BADD_D00052,P02CA03
BADD_D00053,A10BJ04
BADD_D00056,R03AK04;R03AK15;R03AC02;R03CC02;R03AK13;R03AL02
BADD_D00057,R03AK04;R03AK15;R03AC02;R03CC02;R03AK13;R03AL02
BADD_D00058,S01GX11
BADD_D00059,D07AB10;S01BA10
BADD_D00063,L01ED03
BADD_D00065,M05BB03;M05BA04;M05BB06;M05BB05
BADD_D00066,M05BB03;M05BA04;M05BB06;M05BB05
BADD_D00067,N01AH02
BADD_D00068,N01AH02
BADD_D00069,G04CA01;G04CA51
BADD_D00070,G04CA01;G04CA51
BADD_D00073,C09XA54;C09XA53;C09DX02;C09XA02;C09XA52
BADD_D00074,C09XA54;C09XA53;C09DX02;C09XA02;C09XA52
BADD_D00075,L01XF02;D11AH04
BADD_D00077,N02CC05
BADD_D00078,N02CC05
BADD_D00079,A10BD13;A10BD09;A10BH04
BADD_D00080,A10BD13;A10BD09;A10BH04
BADD_D00082,A03AE01
BADD_D00083,A03AE01
BADD_D00085,N05BA12
BADD_D00086,C01EA01;G04BE01
BADD_D00087,B01AD02;S01XA13
BADD_D00088,L01XX03
BADD_D00089,D10AX01
BADD_D00091,D10AX04
BADD_D00096,A06AH02
BADD_D00098,N04BB01
BADD_D00100,C02KX02;C02KX52
BADD_D00101,D07AC11
BADD_D00102,V03AF05
BADD_D00104,S01AA21;D06AX12;J01GB06;J01RA06
BADD_D00105,C03DB01
BADD_D00108,V04CH30
BADD_D00109,V04CH30
BADD_D00110,L01XD04
BADD_D00111,L01XD04
BADD_D00112,R03DA55;R03DA05;R03DA20;R03DB05
BADD_D00113,R03DA55;R03DA05;R03DA20;R03DB05
BADD_D00114,J04AA02;J04AA03;J04AA01
BADD_D00116,C01BD01
BADD_D00117,N05AL05
BADD_D00118,N06AA09;N06CA01
BADD_D00119,N06AA09;N06CA01
BADD_D00121,C09BB13;C09BB04;C10BX18;C07FB12;C09DB05;C09XA53;C10BX03;C09BX04;C09DB07;C09DX06;C09BX01;C10BX11;C09DB02;C10BX09;C09DX01;C10BX19;C09DB01;C09XA54;C10BX07;C09BB03;C07FB07;C09DB06;C07FB13;C09DX08;C08CA01;C09BX06;C09BX03;C09DB04;C09DX03;C08GA02;C08CA51;C09DB09;C10BX14;C09BB07;C09DX07
BADD_D00122,C09BB13;C09BB04;C10BX18;C07FB12;C09DB05;C09XA53;C10BX03;C09BX04;C09DB07;C09DX06;C09BX01;C10BX11;C09DB02;C10BX09;C09DX01;C10BX19;C09DB01;C09XA54;C10BX07;C09BB03;C07FB07;C09DB06;C07FB13;C09DX08;C08CA01;C09BX06;C09BX03;C09DB04;C09DX03;C08GA02;C08CA51;C09DB09;C10BX14;C09BB07;C09DX07
BADD_D00124,G04BA01;B05XA04
BADD_D00126,N05CA02;N05CB01
BADD_D00127,D01AE16
BADD_D00129,A02BD12;J01CR50;A02BD14;A02BD04;A02BD07;A02BD13;A02BD10;A02BD05;A02BD03;A02BD01;A02BD15;A02BD06;J01CA04;A02BD17;A02BD16;A02BD11
BADD_D00130,N06BA01
BADD_D00131,N06BA01
BADD_D00132,G01AA03;A07AA07;A01AB04;J02AA01
BADD_D00133,J01CR50;J01CA51;J01CA01;S01AA19
BADD_D00134,J01CR50;J01CA51;J01CA01;S01AA19
BADD_D00136,J05AE05
BADD_D00140,L01XX35
BADD_D00142,L02BG03
BADD_D00143,J02AX06
BADD_D00144,H01CC01
BADD_D00145,D05AC01;D05AC51
BADD_D00151,B01AF02
BADD_D00152,G04BE07;N04BC07
BADD_D00154,S01EA03
BADD_D00155,S01EA03
BADD_D00156,L04AA32
BADD_D00157,A04AD12
BADD_D00158,B02AB01
BADD_D00161,B01AE03
BADD_D00162,V03AF11;B05XB01
BADD_D00163,V03AF11;B05XB01
BADD_D00165,N05AX12
BADD_D00167,N06BA13
BADD_D00169,L01XX27
BADD_D00170,N01BB58;N01BB08
BADD_D00172,N05AH05
BADD_D00176,J05AE08;J05AR15;J05AR23
BADD_D00177,J05AE08;J05AR15;J05AR23
BADD_D00178,C07CB53;C07AB03;C07FB03;C07DB01;C07BB03;C07CB03
BADD_D00180,N06BA09
BADD_D00181,N06BA09
BADD_D00182,C10BA05;C10BX11;C10BX12;C10BX19;C10BX18;C10AA05;C10BX15;C10BX03;C10BX08;C10BX06
BADD_D00185,G02CX01
BADD_D00186,P01AX06;P01BB51
BADD_D00187,M03AC04
BADD_D00189,S01FA01;A03CB03;V03AB54;A03BA01
BADD_D00190,S01FA01;A03CB03;V03AB54;A03BA01
BADD_D00191,M01CB03
BADD_D00192,G04BE10
BADD_D00193,L01EK01
BADD_D00194,L01BC07
BADD_D00195,L04AX01
BADD_D00197,D10AX03
BADD_D00198,R06AX19;S01GX07;R01AC03
BADD_D00199,R06AX19;S01GX07;R01AC03
BADD_D00201,C09CA09;C09DA09
BADD_D00203,J01RA07;S01AA26;J01FA10;J01RA16
BADD_D00206,J01DF01
BADD_D00207,L03AX03
BADD_D00209,M03BX01
BADD_D00210,A07EC04
BADD_D00211,A07EC04
BADD_D00213,V08BA01;V08BA02
BADD_D00215,G03XC02;G03CC07
BADD_D00220,D07CC04;R03AL09;R03BA01;D07AC15;R03AK08;R03AK13;R01AD01;A07EA07
BADD_D00221,J04AK05
BADD_D00222,J04AK05
BADD_D00225,L01XH04
BADD_D00227,C09BB13;C09BA07;C09AA07
BADD_D00228,C09BB13;C09BA07;C09AA07
BADD_D00230,L01AA09
BADD_D00231,L01AA09
BADD_D00232,C03AB01;C03EA13;G01AE10;C03AA01
BADD_D00234,R02AA16;D08AJ01;D09AA11
BADD_D00237,C05AD03;R02AD01;D04AB04;N01BA05
BADD_D00238,C05AD03;R02AD01;D04AB04;N01BA05
BADD_D00240,R05DB01
BADD_D00241,D10AE01;D10AE51
BADD_D00244,N04AC01
BADD_D00245,N04AC01
BADD_D00246,A01AD02;M01AX07;M02AA05;G02CC03;R02AX03
BADD_D00247,P03AX06
BADD_D00248,P03AX01
BADD_D00251,J01CR50
BADD_D00254,C08EA02
