,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0_02.03.02.012,1.4712545,-0.1683532,1.3141757,-1.2787884,2.5000587,-2.4237366,3.3929946,-1.5564356,-0.5900883,0.34209418,1.9486835,1.6447817,-1.8128133,0.20283067,-1.7384831,-3.6990697,-0.95578486,2.4193616,0.9399301,0.73578286,-0.7914382,-2.6981921,-2.4227388,-0.6825101,-1.8252337,-0.96547604,1.2135713,0.7994586,-2.3335483,1.8849401,-0.6428403,-2.2612393,1.0457749,1.6557721,1.4805155,-1.3981894,-2.6592288,0.6684667,0.7434336,1.9924879,-1.8963974,-1.5006979,-1.2022903,0.82172966,-2.275257,-3.0740848,2.3725684,1.3624167,0.37848115,-2.382667,2.8307862,2.3148556,1.3185166,-0.17967176,0.51295257,0.74297994,0.38158494,-2.297964,-1.1523101,1.5276707,1.2905861,-0.34880793,3.1663308,-0.12251294
1_07.02.01.003,-0.7047845,-0.2513837,-1.2101185,1.8598496,-0.6027234,0.56038034,-1.3060178,0.030549616,1.7279372,-0.6617468,0.46791792,-0.7228581,1.5868955,-0.4739498,0.6878633,0.85178614,0.83320427,-0.97893834,-0.5815287,-0.38950515,1.4051831,0.25023574,-0.46580595,-0.6492522,-0.68796885,-0.50549054,-0.96797705,0.24485043,1.090057,-0.4327764,1.2437024,0.63656265,-0.798523,-0.73884046,-1.2464398,0.60432994,0.1965718,0.6596049,0.30191645,0.29077494,-0.29955983,-0.20811284,-0.12677813,-0.53609806,0.22376737,0.027895182,-1.4772844,-0.41548544,-0.88022435,0.095060244,0.120045245,-0.08679798,-0.9095347,-0.12329787,-0.30517107,0.34796837,1.4397943,1.3907852,-0.45899624,-0.15937349,0.4610669,0.27602476,0.4086014,1.4561548
1_12.02.03.009,-1.8772032,1.4794849,0.9292464,-1.7577786,-1.8999885,2.380373,1.4759018,-1.2528198,-4.1612744,0.56166005,-2.0704868,-1.0155115,-0.53765416,-0.07289676,0.41573322,2.6369886,-0.1223374,-0.66621244,-1.8402926,1.2556093,-4.5336027,-0.64883304,1.093532,0.8173086,-2.4057474,-2.2493227,2.003147,-3.0214024,1.8756304,-0.71839094,3.2970693,1.9260476,0.0663262,-1.3085066,1.1143522,-0.67868733,-1.7461529,0.6680942,0.14663172,-2.465565,-1.8599588,-1.4663401,-0.99228,-3.2353823,-1.1553016,0.9542901,-0.797212,-2.4799457,-2.0091453,0.4756791,-4.500728,-0.9813986,-0.024186015,-1.5354596,-0.77172685,-0.5718516,1.1969924,-0.2184585,-1.451998,-2.1451845,-1.7338147,-2.3047225,-0.81106985,3.04045
2_22.02.07.013,-0.50474864,-0.5811408,-0.026551872,-0.51100785,0.6457857,-0.4686221,0.7919569,0.16044669,1.4017684,-0.094522625,0.65411884,0.14376359,0.17992753,-0.31066138,0.4361592,-0.615566,-0.41166413,0.71191156,0.4332648,0.4040005,-0.20633057,-0.47233462,-0.42843616,-1.7153642,0.7761506,-0.84393364,0.12567322,0.12505126,0.011486262,-0.3606581,-1.0306748,0.453261,-1.4615458,-0.36772177,-0.7170607,-0.51875347,-0.40824926,-0.5884309,-0.0145533085,-0.43490583,-0.12334375,-0.9299519,-0.44051883,0.06096098,-0.82216215,-0.65338635,0.17300051,0.29956704,0.35065687,0.03640057,0.24889871,0.501209,-0.21396561,-0.2567148,0.388089,-0.14766102,-0.1601913,-0.32166708,-0.123699784,0.46347785,0.30788276,-0.46408546,0.3627571,-0.5218461
3_04.02.01.011,0.51654595,0.70591027,-0.34441048,1.4467597,0.48994443,0.5304009,1.4859422,-2.8490136,-2.4885361,-0.94834805,-0.49250543,-1.489468,0.96083534,-2.2328558,1.4352065,0.47965142,1.1065462,-0.38365057,-1.9266427,0.81082463,-3.016523,-0.6308015,-0.28801787,2.114108,-2.7644377,-2.3896227,0.18878698,0.025709748,1.0903858,1.3637608,4.5962806,-1.7356963,0.11291808,0.36320052,2.4290285,0.8107058,-0.42151892,2.5965424,1.5251706,1.4243753,-1.7647789,0.5258754,-0.41504,-3.1525626,-0.24548218,-0.23121199,-2.4659898,-2.5708928,-1.6536562,-1.3532125,-0.34857422,1.0253938,-2.2905693,-1.7593923,-1.1230276,1.0295957,2.736284,2.0056934,-0.7853269,-0.6656934,-0.9149734,-2.1859665,0.9154371,1.2746987
4_23.02.03.001,-2.4620771,-0.12696564,-2.4959078,0.39265263,-0.64101356,1.4327052,-0.76638925,0.2962737,2.5055027,1.5676062,-0.17875898,-0.09142518,-0.73379993,1.1581805,3.0318935,3.2652302,-0.65432966,-0.2701223,-2.061893,0.9253913,3.1510549,2.6824837,-0.8966226,1.6033067,1.8414412,0.15265787,-0.4360609,-1.889182,2.8133557,-2.031751,0.7594967,1.0281348,-0.75074697,-1.345963,-1.8931643,-0.4855222,1.1045115,-0.37986538,0.17245436,-2.5532084,2.7768357,1.0016643,1.9524198,-3.3700094,1.3919276,0.0463109,-1.4667549,-0.24078862,0.1996603,0.30952287,-1.929444,-0.8689954,1.8255458,-0.087466955,-0.6198343,3.125454,-1.4155793,1.1799244,-0.5372543,-0.19308013,-0.6012814,1.8771952,-1.6097757,-0.0022209585
4_08.01.03.029,-1.1006427,-2.3227959,-1.1561666,-0.20917726,-0.25482285,0.3835358,0.14283782,1.1190888,-1.1495858,-0.982218,-1.072409,-0.3543164,-0.6270168,-0.8440456,-0.24478114,-0.7155277,-0.15368304,-0.29770386,1.3318999,-0.033002704,-0.7838104,0.41513377,1.6078155,0.33601978,-0.24958712,0.66560835,-1.0707039,0.10832741,1.1287519,-1.1520705,-0.4109604,-2.8378356,2.291608,-1.008673,-0.89485514,0.8787054,0.621634,-0.9102367,0.37970746,0.9027767,-0.77004707,-1.1327322,-0.0040788054,-2.8107278,0.31964225,0.64712703,-0.22565567,-0.70743,0.94945,0.7917315,-0.02923742,-0.94118106,-0.16307738,1.0972843,0.1894855,-2.1723619,-0.11706239,0.15336275,1.0816116,-2.1192935,-0.25326383,1.9082499,-0.27640647,-0.1843004
4_23.02.03.005,-0.8496813,1.3705919,-2.1691842,1.3436396,-0.4640874,0.8072323,-0.529595,0.49876824,1.6876874,0.7513106,-0.44907808,0.6008016,-1.0720885,1.5290352,2.812841,3.2205791,-0.2807863,0.15645337,-1.4384419,0.84832925,1.9183788,2.6967442,-1.4482234,0.8967447,1.9999797,-1.8055627,-0.25030732,0.07749015,2.5628543,-2.3913476,2.1403337,2.290487,-1.9698068,-0.60164565,-2.7269828,-0.25798672,-0.20212209,0.33322898,0.21897161,-1.8932692,3.063573,-0.056860685,1.6456287,-2.7021587,0.88905185,-0.21210909,-1.4082814,-0.4245749,-0.06820437,0.72798026,-2.079478,-1.2001225,1.2655305,-0.9378428,-1.0546043,2.6838272,-0.75171745,2.292769,-1.6211523,0.43106353,0.3535055,1.2478151,-1.3603927,0.5512871
5_01.02.03.004,1.0805684,-0.32717535,1.1296256,-0.93662536,1.6836472,-2.208041,1.4365432,-1.9973495,-1.0795876,-2.1395261,2.092216,2.7992787,-2.2448454,1.9751234,-0.43498504,-2.2951722,-0.077653736,3.5518456,-2.5644438,1.0711108,-2.4005075,-3.9894564,-3.063718,-3.6254268,-0.24699676,-3.9871209,2.777932,2.0256636,-1.1546874,2.1674862,-1.797994,4.501356,-3.2684293,1.8542595,1.0030835,-1.0122776,-3.8126621,0.48055288,-2.9739099,1.2870159,1.2159185,-0.31190148,-1.7569252,2.4360015,-2.946116,-3.3852654,2.803369,2.648858,1.2731355,-1.6060743,1.62263,1.9963106,1.5917096,-4.573572,2.1526976,2.1147525,-1.7572643,-2.3878303,-2.0306768,3.0529408,2.575646,-1.1839155,3.3239117,-0.07896075
6_01.01.02.010,0.66107225,-0.53403664,0.47464785,0.8582413,-1.5579728,-0.74462914,0.0064315796,-0.4084,0.31579477,-0.9531976,-0.48274562,0.38250992,1.9314443,-0.8565649,-0.7787288,-0.005473256,0.7147007,-0.38987213,-0.92529005,0.9917257,0.7102277,-1.1046599,-0.5894698,1.46275,-0.16387416,-0.5363623,-0.3965037,0.3123531,0.06466733,1.2511864,0.55120593,-0.25466943,-0.5062871,0.27182934,0.3556567,-0.7305571,-0.6492318,0.73221344,0.35158992,1.1958625,-0.7965713,1.0383906,-0.47770828,1.1720504,0.08522993,-1.0935777,0.40670025,-0.5073125,-0.517526,-0.053580433,-0.54179597,1.0674531,0.22673385,0.1664531,-1.0308354,0.8990444,0.9364384,1.936782,-0.23062925,1.2030842,0.5625792,-0.38603503,0.3225457,0.2458933
