adrid,adr_info
Cardiac flutter,02.03.02.012
Post procedural diarrhoea,07.02.01.003;12.02.03.009
Respiratory tract oedema,22.02.07.013
Deafness unilateral,04.02.01.011
Anhidrosis,23.02.03.001;08.01.03.029;23.02.03.005
Neutropenia,01.02.03.004
Anaphylactoid syndrome of pregnancy,01.01.02.010;10.01.07.005;18.02.02.006;22.06.02.004;24.01.06.004
Gait disturbance,08.01.02.002;15.03.05.013;17.02.05.016
Congestive cardiomyopathy,02.04.01.017
External ear disorder,04.01.01.003
Cytomegalovirus colitis,07.19.01.007;11.05.01.004
Prinzmetal angina,02.02.02.019;24.04.04.015
Ear pruritus,04.03.01.011
Immunoglobulins decreased,13.06.05.007
Aortic bruit,13.14.06.002
Poliomyelitis,11.05.16.001;17.06.02.003
Nasal septum deviation,22.04.03.019
Uterine disorder,21.07.01.006
Blood bilirubin increased,13.03.04.018
Thyroid adenoma,05.02.05.003;16.37.01.001;05.02.05.001;05.02.05.002;16.24.01.002;16.24.03.001
Urinary bladder polyp,16.27.02.001;20.03.04.004
Candida cervicitis,11.03.03.020;21.14.05.002
Hyperemesis gravidarum,07.01.07.009;18.02.02.010
Dyspnoea at rest,02.11.05.004;22.02.01.025
Dementia Alzheimer's type,17.03.06.001;19.20.03.001
Rash,23.03.13.001
Necrotising colitis,07.08.01.013
Complication of device insertion,08.07.01.002
Psychomotor retardation,19.15.02.002
Ectopic pregnancy,18.02.02.002
Traumatic fracture,12.04.02.004;15.08.02.003
Reaction to drug excipients,10.01.01.042
Focal segmental glomerulosclerosis,20.05.01.003
Hypercalcaemia,05.04.01.002;14.04.01.003
Fibrocystic breast disease,16.14.01.003;21.05.04.018;21.05.04.010
Cervical dysplasia,21.06.01.002
Body temperature increased,13.15.01.001
Gastric ulcer perforation,07.04.03.006
Hypophosphataemic rickets,14.04.04.018;15.02.03.019;16.32.01.011
Pulmonary function test abnormal,13.19.01.005
Macular oedema,06.04.06.005
Device expulsion,27.01.01.002
Trismus,15.05.04.004;17.01.03.004
Acute febrile neutrophilic dermatosis,01.02.01.006;23.03.03.033
Scrotal erythema,21.12.02.008;23.03.06.013
Cerebellar atrophy,17.11.01.008
Hypotonia neonatal,15.05.04.012;17.05.02.010;18.04.01.006
Anterograde amnesia,17.03.02.005;19.20.01.005
Metastases to peritoneum,07.21.03.003;16.22.02.008
Microangiopathic haemolytic anaemia,01.06.02.002;24.03.02.019
Polyarthritis,15.01.01.005;15.01.01.001
Laboratory test abnormal,13.18.01.001
Cataract,06.06.01.001;06.06.01.003
Prothrombin level decreased,13.01.02.010
Hyperphagia,07.01.06.018;14.03.01.007;19.09.01.005
Application site haemorrhage,08.02.01.040;12.07.01.040;24.07.01.048
Ocular hyperaemia,06.04.05.004
Injection site cyst,08.02.03.044;12.07.03.044;16.02.02.011
Premenstrual syndrome,17.14.01.019;19.04.02.009;21.01.01.007
Parosmia,17.04.04.002;22.04.03.007
Lobar pneumonia,11.01.09.003;22.01.01.006;22.07.01.003
Lymphopenia,01.02.02.002
Mineralocorticoid deficiency,05.01.02.010;14.11.01.033
Muscle haemorrhage,12.01.07.016;15.05.03.017;24.07.01.037
Homicidal ideation,19.05.01.008
Paranasal sinus hypersecretion,22.04.06.004
Colonic abscess,07.19.01.013;11.01.07.024
Epidermolysis,10.04.02.017;23.03.01.014
Sensorimotor disorder,17.05.03.009
Urticaria,10.01.06.001;23.04.02.001
Psoriasis,10.02.01.036;23.03.14.002
Blood creatine increased,13.13.01.001
Injection site pruritus,08.02.03.013;12.07.03.014;23.03.12.007
