,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
"(np.int64(0), 'G03DA03')",0.5460697,0.35466045,0.13601923,-0.64423144,0.2125332,-0.23004071,0.46231562,0.11151166,-0.15749793,-0.2428424,0.31973016,0.06019844,0.023911819,0.102162614,-0.08959067,0.025596887,0.031588368,-0.00023010373,-0.0010001808,-0.59931624,0.20111153,0.24701892,-0.6665583,-0.06481305,0.0039394125,-0.119423784,0.5658295,-0.55358076,0.1696058,0.38903794,0.20112404,0.1365533,-0.27146798,0.6416691,-0.17028004,-0.8667352,-0.21484584,0.38297683,-0.5790704,0.024515212,-0.7124125,0.4027307,0.047025442,0.2983103,0.18583198,-0.103989415,0.45530462,0.56404215,-0.018561497,-0.24020255,-0.24781197,-0.8251633,-0.02241461,0.2947501,-0.035128385,0.051401116,-0.4009136,0.09191094,0.023892403,-0.06628136,-0.09099441,-0.21690357,0.16943155,0.60368526
"(np.int64(1), 'B03XA01')",-0.15385847,-0.20514,-0.45627522,-0.28312683,0.40037215,-0.04976429,-0.26292038,0.249452,0.29317716,-0.01630415,-0.2951567,-0.16893773,0.24981129,0.22525202,-0.37577748,0.30560628,0.2216691,-0.5558315,0.09204217,0.15933168,-0.1114687,0.5713159,-0.098612145,0.009525143,-0.61137897,0.11116424,-0.22571687,0.3097211,0.10346594,0.082344934,0.08269718,0.6599161,-0.3143836,-0.34888855,0.43647537,-0.32235608,-0.31139436,0.27338722,0.43331388,-0.2655792,-0.30536753,0.19843876,0.56463236,0.08731645,-0.21116911,0.42978525,0.038536567,0.12185082,0.30082265,0.40658364,-0.35408744,0.19174515,0.098978974,-0.22093521,-0.040929243,-0.23133676,-0.43324372,0.13960187,-0.07333176,-0.36436886,-0.2976951,0.008422951,-0.30228958,-0.33055827
"(np.int64(2), 'V03AB34')",-0.7720977,1.134094,0.2979145,0.5891719,-0.19900368,0.1353425,1.2277595,1.047137,0.25568837,-0.99722445,0.44607687,-0.5000676,0.17864439,-0.23039979,1.786129,-0.015014932,-1.135235,0.4670433,-0.30465797,0.24198973,-0.73674595,-0.25242704,-1.0114969,0.7596146,0.7920524,0.43976775,0.2550894,-0.93453634,-1.4218992,0.6878251,0.6045448,-0.1376325,-0.17035042,0.7513946,-0.2816216,-2.0683384,0.70096296,-1.1781904,-0.896673,0.9471455,-0.3989269,-0.03961909,-0.65592796,0.32593024,-0.92413306,-1.0858029,-0.66296077,0.46840727,0.013206065,0.45430258,0.12331107,-0.564278,-0.56050676,-0.045493856,-0.013368644,0.71879524,0.32777795,-0.8963437,0.24829307,1.0520808,1.2606039,-1.2704232,-0.8908815,0.1503517
"(np.int64(3), 'A07EC02')",0.2918408,0.18209153,0.018781021,-0.38750827,0.04099945,-0.3380096,-0.32865793,0.57585716,0.18471572,-0.63251376,0.25760776,0.011827439,-0.07993019,0.2517218,-0.15560718,0.35339502,-0.18709444,0.7022391,0.14222813,-0.22270763,0.25937015,-0.11860402,-0.48503572,-0.16483963,-0.41921425,-0.11602974,-0.18513292,-0.08739913,0.1991343,0.284491,0.37280813,-0.00483761,0.12075636,0.35081697,0.5859762,-0.6693328,0.37740707,0.0095757395,-0.022125192,0.036673956,-0.057883874,-0.24922188,0.65823,0.26270854,-0.07489681,-0.32718033,0.41332746,0.071016446,0.09188833,0.33052823,0.11978759,0.01092945,0.18955895,0.6736301,0.07564721,-0.054929726,-0.55243045,0.30372956,-0.5839649,-0.18636647,-0.3885479,0.0046000183,0.013290875,0.64994526
"(np.int64(4), 'L01BC02')",-0.49297905,0.002578061,-0.99276114,-0.50263584,0.14401615,-0.5954213,-0.62770474,-0.2813862,-0.36651486,0.147923,-0.30619776,0.24001257,-0.18897273,0.38048247,-0.36889076,0.113591716,-0.17632468,0.34572315,0.16302946,-0.1280889,0.3137712,-0.3513147,0.10356702,-0.2119028,-0.61008275,-0.6374743,0.028177526,-0.14419603,0.49712414,0.27721417,0.24136607,0.06632911,-0.94542086,-0.60595846,0.024718516,0.21621458,-0.1204278,0.027116366,0.54374236,0.11424194,-0.059772402,0.13612786,0.27656534,0.11563803,0.6506668,0.078454316,-3.0416995e-05,0.0019848496,0.90146834,-0.35658488,0.24457866,-0.12209626,-0.11823526,-0.29816484,-0.47348827,-0.40517396,-0.9524274,0.29226804,-0.26209113,0.064306386,-0.045830138,-0.51961803,0.43267676,0.2578921
"(np.int64(5), 'L01BC08')",-0.38782638,0.026783548,-0.79305446,-0.4456973,0.48027158,-0.559718,-0.60701275,-0.08912505,-0.4027087,0.21539351,-0.38172132,0.09033941,-0.03846775,0.11327347,-0.38418254,0.19470249,0.094284624,0.2763765,0.27881414,-0.117072254,0.1440824,-0.21331824,0.16251694,-0.12739839,-0.87102056,-0.57567966,0.045242116,-0.21635547,0.5928907,0.4451899,0.2850776,0.16272177,-0.8614432,-0.4242277,0.14595602,0.009948097,-0.27164125,0.15289362,0.38863438,-0.22711562,-0.20671825,0.21858542,0.40939224,-0.12448215,0.4691768,0.2950153,0.19693816,-0.07529865,0.8613955,-0.40658125,0.06883324,-0.006715305,0.07641451,-0.23017834,-0.60814315,-0.57729214,-0.7975782,0.37501985,-0.24518622,-0.17177337,-0.107309885,-0.40201503,0.351625,0.31607056
"(np.int64(6), 'L01BC07')",-0.42812437,0.121555656,-0.86523443,-0.5639863,0.27678818,-0.23484531,-0.29628405,-0.023099203,-0.33808964,0.5519489,-0.5915786,0.10002403,-0.047958948,0.37428135,-0.45073077,0.4055332,0.19880582,0.07277736,0.23293439,-0.23475212,0.27713165,0.03984829,0.2384907,-0.19574113,-1.2160659,-0.566845,0.28372133,-0.24206917,0.7722332,0.33826935,-0.09154594,0.39388105,-0.90759206,-0.7193541,0.16776673,-0.00540502,-0.46147048,0.24795601,0.4701141,-0.32199228,-0.26500055,0.09334153,0.4635663,-0.42108205,0.30227304,0.4843107,0.40172264,-0.19847567,0.9706099,-0.20979604,0.17173669,0.3927088,0.059200704,-0.06520209,-0.43853718,-0.4741115,-0.7779509,0.45638064,-0.15847896,-0.18585272,-0.3732328,-0.28649518,0.4125393,0.3393093
"(np.int64(7), 'D01AE21')",-0.2518451,0.592301,-0.49073595,-0.08452159,0.10197575,-0.45219234,0.35867316,-0.27482638,0.34309834,-0.53755283,0.41178924,-0.17544977,0.11302545,0.10679823,0.8629088,-0.20485485,-0.1513771,-0.26954722,0.18486923,0.30579486,-0.04684308,-0.9717746,-0.16419174,0.2113857,0.36955026,-0.116270885,0.19375461,-0.7387536,-0.5224382,0.7759402,0.66605663,0.08939466,-0.74067044,-0.07329451,0.06866683,-0.53162324,0.08180763,-0.7568301,0.22879532,-0.40482253,-0.673599,-0.33461782,-0.16914064,0.17163272,-0.16197658,-0.63119996,-0.42486307,0.67273235,0.6873642,0.20120837,-0.6268143,-0.25462684,-0.41126937,-0.3563248,-0.5240916,-0.14089285,-0.577063,-0.4598566,0.116501465,0.22093832,0.37114692,-0.5293183,-0.0657662,0.43203866
"(np.int64(7), 'J02AX01')",-0.2483547,0.23423837,-0.22908694,-0.02467221,0.24833609,-0.2215591,0.046133585,-0.14332598,0.009375922,-0.39493054,0.22251987,-0.32470423,-0.1479814,0.047233187,0.085497074,0.5312939,-0.16524506,-0.13225764,0.27264023,-0.06369504,-0.034912735,-0.21642241,0.12843283,-0.2856408,-0.19175744,0.21292192,-0.36328185,-0.29824078,-0.08511561,0.8193886,0.8330357,0.68109,-0.25819033,-0.36429638,-0.23051015,-0.34175098,0.37302732,0.02314577,0.03463749,0.26949,-0.10351831,0.09190707,-0.03209456,0.48513547,-0.023404762,-0.1645714,0.43546212,0.20357412,-0.15481293,0.22031799,0.08599081,-0.27011642,0.59092385,-0.13661048,0.1580529,0.17499961,0.15051726,-0.03970345,0.16746315,-0.49902833,0.3956826,-0.34062338,0.3684146,0.5325196
"(np.int64(8), 'L01BB02')",0.28949094,0.81956685,-0.89220273,0.14387,0.55876136,-0.08745924,-0.5511928,0.28960362,-0.07533379,0.90694857,-0.92588407,0.7317802,-0.12317836,0.84638965,-0.9626371,1.3325646,1.098762,-0.56937456,0.81256056,-0.004321022,1.0763421,0.33249402,0.81051934,-1.0825708,-0.81013805,-0.069555864,-0.11793676,-0.12525779,1.1973737,0.33034432,-0.5336471,0.53794706,-0.9628849,-0.44466183,0.12657443,-0.098310396,-0.08035657,0.16437924,-0.30116126,-0.9599339,-0.24243116,0.40158862,0.9153631,-0.3046773,1.7004308,0.9346658,1.062259,-0.24229181,0.5399974,0.42855883,-0.50381356,0.60797197,0.7301994,0.624158,-0.27074057,-0.73060954,-0.3027299,0.7916719,-0.23365428,-1.5277933,-0.560307,0.50977165,0.7289007,0.079521075
"(np.int64(9), 'L01BB03')",0.14247097,0.87894744,-1.089699,0.35325262,0.4224584,0.014191061,-0.2805519,0.36305925,0.117868185,1.0192854,-0.9090773,0.5308459,-0.26408428,0.41591063,-0.40814635,0.8387317,1.0797484,-0.55240494,0.3454951,0.052331224,1.5359192,0.03388524,0.70509845,-0.4379618,-0.6481272,-0.40489137,0.41135842,-0.10459484,0.97264344,0.5628579,-0.7635636,0.47487596,-0.62147415,-0.885179,-0.29576278,0.35095915,-0.19072543,-0.111292236,-0.29487482,-0.3416449,0.024674144,0.066402435,0.3801823,-0.2661302,1.0843954,0.6364502,0.69335645,0.0039708987,0.5931345,0.4217897,-0.4664887,0.87220305,0.8738833,0.5996868,0.12943195,-0.37932605,-0.43940437,0.65162355,-0.14894211,-0.70390844,-0.21217267,0.25637254,0.4796089,0.064337105
"(np.int64(10), 'L03AX16')",-0.20030431,0.37985402,-0.26866016,-0.20751528,0.45528522,0.047281604,0.3201094,0.22122085,0.010339562,-0.16562511,-0.3027781,-0.035713494,-0.24357422,0.14322358,-0.20881942,0.4504838,-0.053811736,-0.53889,0.2503808,-0.105932176,-0.034273848,0.020355947,-0.22917528,-0.037070483,-0.043591425,0.48666483,-0.57392114,-0.5011236,-0.051007126,0.47072512,0.12428742,0.37443367,-0.19429947,0.090131044,0.057887584,-0.11711126,0.40590099,-0.055017926,0.0037111118,0.10578485,-0.059868664,0.20922817,0.49784464,0.27059636,0.32510212,0.10767071,-0.3710603,0.04008776,0.1956487,0.25392962,-0.075402156,-0.046643063,-0.28623426,-0.11709383,0.128044,0.08112536,-0.027765814,-0.11848293,-0.32401726,-0.15553987,0.2499767,-0.37419915,0.36541384,0.5692689
"(np.int64(11), 'J04AA01')",0.27959362,-0.03225451,-0.34687284,0.34811512,-0.21275668,-0.07756529,-0.32191777,-0.20286684,0.4058713,0.62691844,-0.70031774,1.0549304,0.72913635,0.56915116,-1.2108836,0.64577186,0.7840305,0.8021095,1.2716559,0.36088374,1.4062299,1.0568627,0.6537944,-1.2648736,-1.1307672,-0.3207157,-0.56138104,-0.5398992,1.3854245,-0.05131816,-0.24982385,0.85425454,-0.14262131,0.24822047,0.069758356,0.7070391,-0.4570812,0.32222965,0.10715452,-0.9013257,0.07814875,-0.27669096,1.0651451,-0.62020767,1.613099,0.10696309,0.6228738,-0.12348455,0.6736455,0.67996365,0.44955727,0.2670575,0.637298,1.0669127,0.55057955,-0.33507356,0.03347551,0.4845826,-0.36155924,-1.3724838,-0.56941396,0.66464216,0.4216457,-0.10397117
