drug_index,adr_index,label
345,792,0
478,328,1
495,905,0
835,1009,1
168,935,0
742,434,0
93,662,0
63,65,0
146,737,1
410,909,0
435,393,0
71,246,0
834,28,1
276,605,0
622,813,1
424,704,1
224,672,1
726,450,0
357,13,1
425,934,0
662,375,1
323,923,1
748,1210,0
336,373,1
516,586,0
357,334,1
97,720,0
698,1002,0
141,281,1
151,788,0
313,427,0
13,584,1
385,778,0
335,1183,1
743,188,0
397,613,0
478,1209,1
43,902,0
764,969,0
112,233,0
484,1080,0
210,266,1
279,73,1
814,615,1
124,1069,0
54,1001,0
335,43,1
267,1011,1
172,1193,1
702,644,0
551,213,0
181,573,1
259,174,0
104,1105,0
250,293,0
792,949,1
599,954,0
342,1189,1
783,76,1
161,676,0
210,670,1
43,627,0
518,522,0
83,770,1
767,13,1
344,68,0
666,1197,0
564,8,1
3,1123,0
193,686,1
255,394,0
118,1107,1
539,950,0
505,297,0
563,117,1
730,277,0
41,755,0
820,396,0
495,171,0
593,292,0
518,552,1
96,1035,0
733,905,0
30,886,1
673,469,1
756,512,1
599,778,1
697,1037,1
573,73,0
384,742,0
624,8,1
30,155,1
758,1051,0
410,6,0
699,898,1
756,262,1
57,474,0
715,1170,1
64,817,1
547,170,1
520,454,1
426,1066,1
224,1099,0
725,721,1
706,41,1
788,992,0
56,566,0
787,301,1
191,704,1
776,1172,0
713,715,1
699,143,1
335,57,1
304,1204,0
37,865,0
635,1053,1
176,3,1
577,785,0
576,141,1
139,795,1
834,922,1
497,501,1
678,791,0
616,258,1
301,60,1
620,753,1
194,844,0
372,527,1
609,1174,0
352,78,1
757,59,1
463,362,0
421,979,1
689,316,1
291,1055,1
36,693,1
193,898,1
697,1148,1
476,1204,0
778,421,0
282,1041,1
217,1080,1
56,751,1
457,587,1
688,949,1
35,1200,1
139,1012,0
821,976,1
829,548,1
412,305,1
510,846,1
486,810,1
829,815,1
766,721,0
715,381,1
807,795,1
187,886,0
578,11,0
561,168,0
244,67,0
137,73,1
290,145,1
486,338,1
343,334,0
535,55,1
631,518,0
482,693,1
379,603,0
458,404,0
321,1212,1
320,307,0
292,939,0
12,856,0
480,380,0
51,693,1
820,27,1
575,1181,1
541,750,0
452,238,0
722,978,1
8,652,0
326,996,0
414,81,1
161,1009,1
783,839,1
208,522,0
668,558,0
387,301,1
212,1175,1
396,244,1
524,241,0
459,126,0
212,714,1
318,901,0
110,563,1
59,1007,0
348,192,1
621,668,1
15,253,1
144,1082,1
603,251,0
568,519,0
465,655,0
699,560,1
105,801,1
714,504,0
569,135,0
34,664,0
323,1196,1
267,1056,0
217,4,1
776,250,0
467,846,1
598,769,0
243,634,1
638,813,1
787,204,1
568,665,1
758,849,0
806,359,0
324,728,0
186,175,1
485,229,0
525,943,0
366,1094,1
746,1192,0
641,45,1
714,31,0
417,1006,0
237,89,0
669,106,1
589,846,0
119,499,0
536,128,1
147,1110,0
416,692,0
41,366,0
162,205,1
521,712,0
576,474,1
202,371,1
118,554,0
169,1212,1
5,43,1
641,999,0
10,442,0
618,583,0
399,1143,0
805,696,0
137,133,0
309,648,0
150,1010,0
172,771,0
26,1152,1
670,194,0
673,1206,1
392,964,0
819,136,0
729,327,1
191,716,1
271,647,0
727,579,0
154,740,0
693,1143,0
299,917,0
466,105,1
16,296,0
368,811,0
375,1082,1
220,582,0
259,342,0
578,573,0
759,1109,0
289,812,1
152,505,1
86,632,1
765,1082,1
578,1041,1
251,144,1
111,820,0
291,1209,1
426,1,1
235,170,1
174,68,0
381,593,0
371,815,0
802,420,0
343,726,0
677,806,1
105,141,1
719,255,0
195,634,1
448,1121,0
344,1076,1
97,313,0
156,330,0
788,456,0
60,1100,0
782,705,0
369,545,0
525,261,0
605,142,1
175,145,0
324,551,1
152,1055,1
545,96,0
34,720,0
830,230,1
553,813,0
114,265,0
186,277,1
666,36,0
827,877,1
690,478,1
565,1208,0
42,705,1
312,4,1
30,689,0
644,436,1
39,987,1
293,96,1
197,965,0
603,1134,1
534,814,0
363,634,1
464,870,0
615,444,0
549,1016,1
3,496,1
620,1040,0
540,319,0
386,366,0
506,93,1
465,790,0
167,141,0
529,750,0
814,1177,1
207,705,1
805,567,1
762,331,0
318,215,0
371,987,1
505,291,0
105,338,1
506,843,1
4,439,0
189,8,1
365,1058,0
543,966,0
599,857,0
448,279,0
629,294,0
757,170,1
482,1063,1
669,81,1
317,58,0
815,1057,1
420,105,1
783,923,1
623,225,0
742,1177,1
197,583,0
67,475,0
784,5,0
412,112,1
174,236,0
650,335,0
194,25,0
407,130,1
679,575,0
105,81,1
672,271,0
192,415,0
263,858,0
5,179,0
86,49,1
495,598,0
372,1,1
671,1198,1
654,890,1
364,739,1
400,847,0
393,847,1
815,228,0
597,1033,1
572,790,0
266,262,1
526,923,1
346,1090,0
719,433,0
712,202,0
480,130,0
605,635,0
821,465,0
325,253,0
24,979,1
466,862,0
248,909,1
28,674,1
319,1000,0
209,141,0
465,203,0
643,130,1
52,108,0
450,191,1
446,227,1
745,791,1
761,490,0
568,1101,0
96,795,1
827,571,1
501,81,1
609,219,0
446,385,1
607,1185,0
260,194,0
384,394,1
822,1019,0
820,1163,1
355,1189,0
293,526,0
236,800,0
222,445,1
750,674,1
151,335,0
449,356,1
512,795,1
19,301,1
787,1052,0
790,861,0
523,164,1
526,459,1
136,241,1
819,477,0
639,305,1
771,756,0
679,499,1
808,563,1
384,676,0
507,640,0
695,634,1
735,812,0
814,965,1
383,216,0
622,198,0
417,1028,1
694,316,1
313,445,1
693,1097,0
217,658,1
154,3,1
790,912,0
655,245,0
258,791,0
288,283,1
418,1091,1
140,629,0
163,9,0
546,810,1
753,587,0
695,560,1
338,821,0
221,1014,1
369,1070,0
662,659,0
702,881,0
159,326,0
104,393,0
819,1001,0
605,442,0
508,576,0
449,386,1
110,93,1
344,411,0
313,322,0
224,360,1
807,896,1
461,49,1
226,804,0
560,1082,1
76,127,0
526,1170,0
581,634,1
622,712,1
685,81,0
657,619,1
48,1182,0
818,18,0
246,697,0
278,345,1
106,338,1
251,1066,0
406,812,0
689,1075,0
19,674,1
316,539,0
671,923,1
694,125,1
87,672,1
693,190,1
286,201,0
603,366,0
467,845,1
109,580,0
830,129,1
92,731,1
299,37,1
368,634,1
581,1015,0
72,37,0
636,122,0
551,705,1
250,637,1
179,773,0
443,632,0
328,395,1
549,556,1
631,512,1
195,1057,0
243,1021,0
725,510,0
364,513,0
575,508,1
252,684,0
783,1048,1
808,1047,0
529,841,0
572,515,0
145,235,1
232,334,0
13,1169,1
797,1098,0
530,852,0
568,867,0
604,96,1
587,656,0
206,360,0
588,158,0
680,492,1
589,1134,1
479,626,0
265,843,0
787,317,1
545,1032,0
33,81,1
616,1057,0
449,726,0
