drugid,DRUG_NAME,SMILES,Source,Canonical_SMILES
BADD_D00008,Abacavir,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,PubChem,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1
BADD_D00009,Abacavir succinate,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.C(CC(=O)O)C(=O)O,PubChem,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1.O=C(O)CCC(=O)O
BADD_D00010,Abacavir sulfate,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.OS(=O)(=O)O,PubChem,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1.O=S(=O)(O)O
BADD_D00011,Abarelix,CC(C)CC(C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)N(C)C(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C,PubChem,CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)N(C)C(Cc1ccc(O)cc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(N)=O
BADD_D00014,Abiraterone,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,PubChem,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12
BADD_D00017,Acamprosate calcium,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],PubChem,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2]
BADD_D00018,Acarbose,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,PubChem,CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O
BADD_D00019,Acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,PubChem,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
BADD_D00020,Acebutolol hydrochloride,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C.Cl,PubChem,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1.Cl
BADD_D00021,Aceclofenac,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,PubChem,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
BADD_D00022,Acenocoumarol,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O,PubChem,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O
BADD_D00023,Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,PubChem,CC(=O)Nc1ccc(O)cc1
BADD_D00025,Acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,PubChem,CC(=O)Nc1nnc(S(N)(=O)=O)s1
BADD_D00026,Acetazolamide sodium,CC(=O)NC1=NN=C(S1)S(=O)(=O)[NH-].[Na+],PubChem,CC(=O)Nc1nnc(S([NH-])(=O)=O)s1.[Na+]
BADD_D00028,Acetohydroxamic acid,CC(=O)NO,PubChem,CC(=O)NO
BADD_D00030,Acetylcholine,CC(=O)OCC[N+](C)(C)C,PubChem,CC(=O)OCC[N+](C)(C)C
BADD_D00031,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],PubChem,CC(=O)OCC[N+](C)(C)C.[Cl-]
BADD_D00033,Acetylsalicylic acid,CC(=O)OC1=CC=CC=C1C(=O)O,PubChem,CC(=O)Oc1ccccc1C(=O)O
BADD_D00035,Acipimox,CC1=CN=C(C=[N+]1[O-])C(=O)O,PubChem,Cc1cnc(C(=O)O)c[n+]1[O-]
BADD_D00038,Activated charcoal,[C],PubChem,[C]
BADD_D00039,Acyclovir,C1=NC2=C(N1COCCO)N=C(NC2=O)N,PubChem,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
BADD_D00040,Acyclovir sodium,C1=NC2=C(N1COCCO)N=C(N=C2[O-])N.[Na+],PubChem,Nc1nc([O-])c2ncn(COCCO)c2n1.[Na+]
BADD_D00042,Adapalene,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,PubChem,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
BADD_D00044,Adefovir dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,PubChem,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C
BADD_D00045,Adenosine,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,PubChem,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
BADD_D00047,Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,PubChem,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1
